FIPS Code,State,Area name,Attribute,Value
1003,AL,Baldwin County,"Percent of adults completing some college or associate degree, 1990",24.6
1003,AL,Baldwin County,"Percent of adults with a bachelor's degree or higher, 1990",16.8
1003,AL,Baldwin County,"Less than high school graduate, 2000",17258.0
1003,AL,Baldwin County,"High school graduate (or equivalency), 2000",28428.0
1003,AL,Baldwin County,"Some college or associate degree, 2000",28178.0
1003,AL,Baldwin County,"Bachelor's degree or higher, 2000",22146.0
1003,AL,Baldwin County,"Percent of adults who are not high school graduates, 2000",18.0
1003,AL,Baldwin County,"Percent of adults who are high school graduates (or equivalent), 2000",29.6
1003,AL,Baldwin County,"Percent of adults completing some college or associate degree, 2000",29.3
1003,AL,Baldwin County,"Percent of adults with a bachelor's degree or higher, 2000",23.1
1003,AL,Baldwin County,"Less than high school graduate, 2008-12",14792.0
1003,AL,Baldwin County,"High school graduate (or equivalency), 2008-12",36675.0
1003,AL,Baldwin County,"Some college or associate degree, 2008-12",40497.0
1003,AL,Baldwin County,"Bachelor's degree or higher, 2008-12",35307.0
1003,AL,Baldwin County,"Percent of adults who are not high school graduates, 2008-12",11.62244345
1003,AL,Baldwin County,"Percent of adults who are high school graduates (or equivalent), 2008-12",28.81646251
1003,AL,Baldwin County,"Percent of adults completing some college or associate degree, 2008-12",31.81950326
1003,AL,Baldwin County,"Percent of adults with a bachelor's degree or higher, 2008-12",27.74159078
1003,AL,Baldwin County,"Less than high school graduate, 2019-23",14221.0
1003,AL,Baldwin County,"High school graduate (or equivalency), 2019-23",47369.0
1003,AL,Baldwin County,"Some college or associate degree, 2019-23",53990.0
1003,AL,Baldwin County,"Bachelor's degree or higher, 2019-23",56408.0
1003,AL,Baldwin County,"Percent of adults who are not high school graduates, 2019-23",8.268600135
1003,AL,Baldwin County,"Percent of adults who are high school graduates (or equivalent), 2019-23",27.54203782
1003,AL,Baldwin County,"Percent of adults completing some college or associate degree, 2019-23",31.391725
1003,AL,Baldwin County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.79763704
1005,AL,Barbour County,2013 Urban Influence Code,6.0
1005,AL,Barbour County,2024 Urban Influence Code,5.0
1005,AL,Barbour County,2013 Rural-urban Continuum Code,6.0
1005,AL,Barbour County,2023 Rural-urban Continuum Code,6.0
1005,AL,Barbour County,"Less than a high school diploma, 1970",8120.0
1005,AL,Barbour County,"High school diploma only, 1970",2242.0
1005,AL,Barbour County,"Some college (1-3 years), 1970",581.0
1005,AL,Barbour County,"Four years of college or higher, 1970",861.0
1005,AL,Barbour County,"Percent of adults with less than a high school diploma, 1970",68.8
1005,AL,Barbour County,"Percent of adults with a high school diploma only, 1970",19.0
1005,AL,Barbour County,"Percent of adults completing some college (1-3 years), 1970",4.9
1005,AL,Barbour County,"Percent of adults completing four years of college or higher, 1970",7.3
1005,AL,Barbour County,"Less than a high school diploma, 1980",7759.0
1005,AL,Barbour County,"High school diploma only, 1980",3671.0
1005,AL,Barbour County,"Some college (1-3 years), 1980",1362.0
1005,AL,Barbour County,"Four years of college or higher, 1980",1300.0
1005,AL,Barbour County,"Percent of adults with less than a high school diploma, 1980",55.1
1005,AL,Barbour County,"Percent of adults with a high school diploma only, 1980",26.1
1005,AL,Barbour County,"Percent of adults completing some college (1-3 years), 1980",9.7
1005,AL,Barbour County,"Percent of adults completing four years of college or higher, 1980",9.2
1005,AL,Barbour County,"Less than high school graduate, 1990",6965.0
1005,AL,Barbour County,"High school graduate (or equivalency), 1990",4258.0
1005,AL,Barbour County,"Some college or associate degree, 1990",2622.0
1005,AL,Barbour County,"Bachelor's degree or higher, 1990",1857.0
1005,AL,Barbour County,"Percent of adults who are not high school graduates, 1990",44.4
1005,AL,Barbour County,"Percent of adults who are high school graduates (or equivalent), 1990",27.1
1005,AL,Barbour County,"Percent of adults completing some college or associate degree, 1990",16.7
1005,AL,Barbour County,"Percent of adults with a bachelor's degree or higher, 1990",11.8
1005,AL,Barbour County,"Less than high school graduate, 2000",6679.0
1005,AL,Barbour County,"High school graduate (or equivalency), 2000",6124.0
1005,AL,Barbour County,"Some college or associate degree, 2000",4025.0
1005,AL,Barbour County,"Bachelor's degree or higher, 2000",2068.0
1005,AL,Barbour County,"Percent of adults who are not high school graduates, 2000",35.3
1005,AL,Barbour County,"Percent of adults who are high school graduates (or equivalent), 2000",32.4
1005,AL,Barbour County,"Percent of adults completing some college or associate degree, 2000",21.3
1005,AL,Barbour County,"Percent of adults with a bachelor's degree or higher, 2000",10.9
1005,AL,Barbour County,"Less than high school graduate, 2008-12",5013.0
1005,AL,Barbour County,"High school graduate (or equivalency), 2008-12",6320.0
1005,AL,Barbour County,"Some college or associate degree, 2008-12",4892.0
1005,AL,Barbour County,"Bachelor's degree or higher, 2008-12",2757.0
1005,AL,Barbour County,"Percent of adults who are not high school graduates, 2008-12",26.4092298
1005,AL,Barbour County,"Percent of adults who are high school graduates (or equivalent), 2008-12",33.29470024
1005,AL,Barbour County,"Percent of adults completing some college or associate degree, 2008-12",25.7717838
1005,AL,Barbour County,"Percent of adults with a bachelor's degree or higher, 2008-12",14.52428617
1005,AL,Barbour County,"Less than high school graduate, 2019-23",3911.0
1005,AL,Barbour County,"High school graduate (or equivalency), 2019-23",6629.0
1005,AL,Barbour County,"Some college or associate degree, 2019-23",5067.0
1005,AL,Barbour County,"Bachelor's degree or higher, 2019-23",2021.0
1005,AL,Barbour County,"Percent of adults who are not high school graduates, 2019-23",22.18629453
1005,AL,Barbour County,"Percent of adults who are high school graduates (or equivalent), 2019-23",37.60494668
1005,AL,Barbour County,"Percent of adults completing some college or associate degree, 2019-23",28.74404357
1005,AL,Barbour County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.46471523
1007,AL,Bibb County,2013 Urban Influence Code,1.0
1007,AL,Bibb County,2024 Urban Influence Code,1.0
1007,AL,Bibb County,2013 Rural-urban Continuum Code,1.0
1007,AL,Bibb County,2023 Rural-urban Continuum Code,1.0
1007,AL,Bibb County,"Less than a high school diploma, 1970",5272.0
1007,AL,Bibb County,"High school diploma only, 1970",1402.0
1007,AL,Bibb County,"Some college (1-3 years), 1970",238.0
1007,AL,Bibb County,"Four years of college or higher, 1970",302.0
1007,AL,Bibb County,"Percent of adults with less than a high school diploma, 1970",73.1
1007,AL,Bibb County,"Percent of adults with a high school diploma only, 1970",19.4
1007,AL,Bibb County,"Percent of adults completing some college (1-3 years), 1970",3.3
1007,AL,Bibb County,"Percent of adults completing four years of college or higher, 1970",4.2
1007,AL,Bibb County,"Less than a high school diploma, 1980",5254.0
1007,AL,Bibb County,"High school diploma only, 1980",2611.0
1007,AL,Bibb County,"Some college (1-3 years), 1980",536.0
1007,AL,Bibb County,"Four years of college or higher, 1980",433.0
1007,AL,Bibb County,"Percent of adults with less than a high school diploma, 1980",59.5
1007,AL,Bibb County,"Percent of adults with a high school diploma only, 1980",29.6
1007,AL,Bibb County,"Percent of adults completing some college (1-3 years), 1980",6.1
1007,AL,Bibb County,"Percent of adults completing four years of college or higher, 1980",4.9
1007,AL,Bibb County,"Less than high school graduate, 1990",4850.0
1007,AL,Bibb County,"High school graduate (or equivalency), 1990",3407.0
1007,AL,Bibb County,"Some college or associate degree, 1990",1332.0
1007,AL,Bibb County,"Bachelor's degree or higher, 1990",476.0
1007,AL,Bibb County,"Percent of adults who are not high school graduates, 1990",48.2
1007,AL,Bibb County,"Percent of adults who are high school graduates (or equivalent), 1990",33.8
1007,AL,Bibb County,"Percent of adults completing some college or associate degree, 1990",13.2
1007,AL,Bibb County,"Percent of adults with a bachelor's degree or higher, 1990",4.7
1007,AL,Bibb County,"Less than high school graduate, 2000",4984.0
1007,AL,Bibb County,"High school graduate (or equivalency), 2000",4838.0
1007,AL,Bibb County,"Some college or associate degree, 2000",2756.0
1007,AL,Bibb County,"Bachelor's degree or higher, 2000",962.0
1007,AL,Bibb County,"Percent of adults who are not high school graduates, 2000",36.8
1007,AL,Bibb County,"Percent of adults who are high school graduates (or equivalent), 2000",35.7
1007,AL,Bibb County,"Percent of adults completing some college or associate degree, 2000",20.4
1007,AL,Bibb County,"Percent of adults with a bachelor's degree or higher, 2000",7.1
1007,AL,Bibb County,"Less than high school graduate, 2008-12",3702.0
1007,AL,Bibb County,"High school graduate (or equivalency), 2008-12",6457.0
1007,AL,Bibb County,"Some college or associate degree, 2008-12",3963.0
1007,AL,Bibb County,"Bachelor's degree or higher, 2008-12",1396.0
1007,AL,Bibb County,"Percent of adults who are not high school graduates, 2008-12",23.85616703
1007,AL,Bibb County,"Percent of adults who are high school graduates (or equivalent), 2008-12",41.60974352
1007,AL,Bibb County,"Percent of adults completing some college or associate degree, 2008-12",25.5380848
1007,AL,Bibb County,"Percent of adults with a bachelor's degree or higher, 2008-12",8.99600464
1007,AL,Bibb County,"Less than high school graduate, 2019-23",3132.0
1007,AL,Bibb County,"High school graduate (or equivalency), 2019-23",6552.0
1007,AL,Bibb County,"Some college or associate degree, 2019-23",4420.0
1007,AL,Bibb County,"Bachelor's degree or higher, 2019-23",1827.0
1007,AL,Bibb County,"Percent of adults who are not high school graduates, 2019-23",19.65978281
1007,AL,Bibb County,"Percent of adults who are high school graduates (or equivalent), 2019-23",41.12736175
1007,AL,Bibb County,"Percent of adults completing some college or associate degree, 2019-23",27.7446488
1007,AL,Bibb County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.46820664
1009,AL,Blount County,2013 Urban Influence Code,1.0
1009,AL,Blount County,2024 Urban Influence Code,1.0
1009,AL,Blount County,2013 Rural-urban Continuum Code,1.0
1009,AL,Blount County,2023 Rural-urban Continuum Code,1.0
1009,AL,Blount County,"Less than a high school diploma, 1970",10677.0
1009,AL,Blount County,"High school diploma only, 1970",3440.0
1009,AL,Blount County,"Some college (1-3 years), 1970",626.0
1009,AL,Blount County,"Four years of college or higher, 1970",404.0
1009,AL,Blount County,"Percent of adults with less than a high school diploma, 1970",70.5
1009,AL,Blount County,"Percent of adults with a high school diploma only, 1970",22.7
1009,AL,Blount County,"Percent of adults completing some college (1-3 years), 1970",4.1
1009,AL,Blount County,"Percent of adults completing four years of college or higher, 1970",2.7
1009,AL,Blount County,"Less than a high school diploma, 1980",11666.0
1009,AL,Blount County,"High school diploma only, 1980",7011.0
1009,AL,Blount County,"Some college (1-3 years), 1980",1819.0
1009,AL,Blount County,"Four years of college or higher, 1980",1144.0
1009,AL,Blount County,"Percent of adults with less than a high school diploma, 1980",53.9
1009,AL,Blount County,"Percent of adults with a high school diploma only, 1980",32.4
1009,AL,Blount County,"Percent of adults completing some college (1-3 years), 1980",8.4
1009,AL,Blount County,"Percent of adults completing four years of college or higher, 1980",5.3
1009,AL,Blount County,"Less than high school graduate, 1990",9960.0
1009,AL,Blount County,"High school graduate (or equivalency), 1990",8763.0
1009,AL,Blount County,"Some college or associate degree, 1990",4745.0
1009,AL,Blount County,"Bachelor's degree or higher, 1990",1773.0
1009,AL,Blount County,"Percent of adults who are not high school graduates, 1990",39.5
1009,AL,Blount County,"Percent of adults who are high school graduates (or equivalent), 1990",34.7
1009,AL,Blount County,"Percent of adults completing some college or associate degree, 1990",18.8
1009,AL,Blount County,"Percent of adults with a bachelor's degree or higher, 1990",7.0
1009,AL,Blount County,"Less than high school graduate, 2000",9960.0
1009,AL,Blount County,"High school graduate (or equivalency), 2000",12136.0
1009,AL,Blount County,"Some college or associate degree, 2000",8371.0
1009,AL,Blount County,"Bachelor's degree or higher, 2000",3235.0
1009,AL,Blount County,"Percent of adults who are not high school graduates, 2000",29.6
1009,AL,Blount County,"Percent of adults who are high school graduates (or equivalent), 2000",36.0
1009,AL,Blount County,"Percent of adults completing some college or associate degree, 2000",24.8
1009,AL,Blount County,"Percent of adults with a bachelor's degree or higher, 2000",9.6
1009,AL,Blount County,"Less than high school graduate, 2008-12",9419.0
1009,AL,Blount County,"High school graduate (or equivalency), 2008-12",13994.0
1009,AL,Blount County,"Some college or associate degree, 2008-12",10498.0
1009,AL,Blount County,"Bachelor's degree or higher, 2008-12",4792.0
1009,AL,Blount County,"Percent of adults who are not high school graduates, 2008-12",24.33661473
1009,AL,Blount County,"Percent of adults who are high school graduates (or equivalent), 2008-12",36.15740382
1009,AL,Blount County,"Percent of adults completing some college or associate degree, 2008-12",27.12451231
1009,AL,Blount County,"Percent of adults with a bachelor's degree or higher, 2008-12",12.38146914
1009,AL,Blount County,"Less than high school graduate, 2019-23",7093.0
1009,AL,Blount County,"High school graduate (or equivalency), 2019-23",14600.0
1009,AL,Blount County,"Some college or associate degree, 2019-23",12912.0
1009,AL,Blount County,"Bachelor's degree or higher, 2019-23",6386.0
1009,AL,Blount County,"Percent of adults who are not high school graduates, 2019-23",17.30379839
1009,AL,Blount County,"Percent of adults who are high school graduates (or equivalent), 2019-23",35.61757459
1009,AL,Blount County,"Percent of adults completing some college or associate degree, 2019-23",31.49959747
1009,AL,Blount County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.57902954
1011,AL,Bullock County,2013 Urban Influence Code,6.0
1011,AL,Bullock County,2024 Urban Influence Code,6.0
1011,AL,Bullock County,2013 Rural-urban Continuum Code,6.0
1011,AL,Bullock County,2023 Rural-urban Continuum Code,8.0
1011,AL,Bullock County,"Less than a high school diploma, 1970",4245.0
1011,AL,Bullock County,"High school diploma only, 1970",958.0
1011,AL,Bullock County,"Some college (1-3 years), 1970",305.0
1011,AL,Bullock County,"Four years of college or higher, 1970",314.0
1011,AL,Bullock County,"Percent of adults with less than a high school diploma, 1970",72.9
1011,AL,Bullock County,"Percent of adults with a high school diploma only, 1970",16.5
1011,AL,Bullock County,"Percent of adults completing some college (1-3 years), 1970",5.2
1011,AL,Bullock County,"Percent of adults completing four years of college or higher, 1970",5.4
1011,AL,Bullock County,"Less than a high school diploma, 1980",3473.0
1011,AL,Bullock County,"High school diploma only, 1980",1324.0
1011,AL,Bullock County,"Some college (1-3 years), 1980",574.0
1011,AL,Bullock County,"Four years of college or higher, 1980",516.0
1011,AL,Bullock County,"Percent of adults with less than a high school diploma, 1980",59.0
1011,AL,Bullock County,"Percent of adults with a high school diploma only, 1980",22.5
1011,AL,Bullock County,"Percent of adults completing some college (1-3 years), 1980",9.8
1011,AL,Bullock County,"Percent of adults completing four years of college or higher, 1980",8.8
1011,AL,Bullock County,"Less than high school graduate, 1990",3428.0
1011,AL,Bullock County,"High school graduate (or equivalency), 1990",1669.0
1011,AL,Bullock County,"Some college or associate degree, 1990",954.0
1011,AL,Bullock County,"Bachelor's degree or higher, 1990",676.0
1011,AL,Bullock County,"Percent of adults who are not high school graduates, 1990",51.0
1011,AL,Bullock County,"Percent of adults who are high school graduates (or equivalent), 1990",24.8
1011,AL,Bullock County,"Percent of adults completing some college or associate degree, 1990",14.2
1011,AL,Bullock County,"Percent of adults with a bachelor's degree or higher, 1990",10.0
1011,AL,Bullock County,"Less than high school graduate, 2000",2992.0
1011,AL,Bullock County,"High school graduate (or equivalency), 2000",2667.0
1011,AL,Bullock County,"Some college or associate degree, 2000",1325.0
1011,AL,Bullock County,"Bachelor's degree or higher, 2000",586.0
1011,AL,Bullock County,"Percent of adults who are not high school graduates, 2000",39.5
1011,AL,Bullock County,"Percent of adults who are high school graduates (or equivalent), 2000",35.2
1011,AL,Bullock County,"Percent of adults completing some college or associate degree, 2000",17.5
1011,AL,Bullock County,"Percent of adults with a bachelor's degree or higher, 2000",7.7
1011,AL,Bullock County,"Less than high school graduate, 2008-12",2249.0
1011,AL,Bullock County,"High school graduate (or equivalency), 2008-12",2729.0
1011,AL,Bullock County,"Some college or associate degree, 2008-12",1697.0
1011,AL,Bullock County,"Bachelor's degree or higher, 2008-12",900.0
1011,AL,Bullock County,"Percent of adults who are not high school graduates, 2008-12",29.68976898
1011,AL,Bullock County,"Percent of adults who are high school graduates (or equivalent), 2008-12",36.02640264
1011,AL,Bullock County,"Percent of adults completing some college or associate degree, 2008-12",22.40264026
1011,AL,Bullock County,"Percent of adults with a bachelor's degree or higher, 2008-12",11.88118812
1011,AL,Bullock County,"Less than high school graduate, 2019-23",1915.0
1011,AL,Bullock County,"High school graduate (or equivalency), 2019-23",2994.0
1011,AL,Bullock County,"Some college or associate degree, 2019-23",1805.0
1011,AL,Bullock County,"Bachelor's degree or higher, 2019-23",664.0
1011,AL,Bullock County,"Percent of adults who are not high school graduates, 2019-23",25.95554351
1011,AL,Bullock County,"Percent of adults who are high school graduates (or equivalent), 2019-23",40.58010301
1011,AL,Bullock County,"Percent of adults completing some college or associate degree, 2019-23",24.46462456
1011,AL,Bullock County,"Percent of adults with a bachelor's degree or higher, 2019-23",8.999728924
1013,AL,Butler County,2013 Urban Influence Code,6.0
1013,AL,Butler County,2024 Urban Influence Code,6.0
1013,AL,Butler County,2013 Rural-urban Continuum Code,6.0
1013,AL,Butler County,2023 Rural-urban Continuum Code,6.0
1013,AL,Butler County,"Less than a high school diploma, 1970",8353.0
1013,AL,Butler County,"High school diploma only, 1970",2459.0
1013,AL,Butler County,"Some college (1-3 years), 1970",499.0
1013,AL,Butler County,"Four years of college or higher, 1970",541.0
1013,AL,Butler County,"Percent of adults with less than a high school diploma, 1970",70.5
1013,AL,Butler County,"Percent of adults with a high school diploma only, 1970",20.7
1013,AL,Butler County,"Percent of adults completing some college (1-3 years), 1970",4.2
1013,AL,Butler County,"Percent of adults completing four years of college or higher, 1970",4.6
1013,AL,Butler County,"Less than a high school diploma, 1980",6929.0
1013,AL,Butler County,"High school diploma only, 1980",3635.0
1013,AL,Butler County,"Some college (1-3 years), 1980",1016.0
1013,AL,Butler County,"Four years of college or higher, 1980",1029.0
1013,AL,Butler County,"Percent of adults with less than a high school diploma, 1980",55.0
1013,AL,Butler County,"Percent of adults with a high school diploma only, 1980",28.8
1013,AL,Butler County,"Percent of adults completing some college (1-3 years), 1980",8.1
1013,AL,Butler County,"Percent of adults completing four years of college or higher, 1980",8.2
1013,AL,Butler County,"Less than high school graduate, 1990",6374.0
1013,AL,Butler County,"High school graduate (or equivalency), 1990",3927.0
1013,AL,Butler County,"Some college or associate degree, 1990",2106.0
1013,AL,Butler County,"Bachelor's degree or higher, 1990",1083.0
1013,AL,Butler County,"Percent of adults who are not high school graduates, 1990",47.2
1013,AL,Butler County,"Percent of adults who are high school graduates (or equivalent), 1990",29.1
1013,AL,Butler County,"Percent of adults completing some college or associate degree, 1990",15.6
1013,AL,Butler County,"Percent of adults with a bachelor's degree or higher, 1990",8.0
1013,AL,Butler County,"Less than high school graduate, 2000",4439.0
1013,AL,Butler County,"High school graduate (or equivalency), 2000",4749.0
1013,AL,Butler County,"Some college or associate degree, 2000",3146.0
1013,AL,Butler County,"Bachelor's degree or higher, 2000",1433.0
1013,AL,Butler County,"Percent of adults who are not high school graduates, 2000",32.2
1013,AL,Butler County,"Percent of adults who are high school graduates (or equivalent), 2000",34.5
1013,AL,Butler County,"Percent of adults completing some college or associate degree, 2000",22.9
1013,AL,Butler County,"Percent of adults with a bachelor's degree or higher, 2000",10.4
1013,AL,Butler County,"Less than high school graduate, 2008-12",3341.0
1013,AL,Butler County,"High school graduate (or equivalency), 2008-12",5463.0
1013,AL,Butler County,"Some college or associate degree, 2008-12",3465.0
1013,AL,Butler County,"Bachelor's degree or higher, 2008-12",1812.0
1013,AL,Butler County,"Percent of adults who are not high school graduates, 2008-12",23.72700802
1013,AL,Butler County,"Percent of adults who are high school graduates (or equivalent), 2008-12",38.79696044
1013,AL,Butler County,"Percent of adults completing some college or associate degree, 2008-12",24.6076273
1013,AL,Butler County,"Percent of adults with a bachelor's degree or higher, 2008-12",12.86840423
1013,AL,Butler County,"Less than high school graduate, 2019-23",1633.0
1013,AL,Butler County,"High school graduate (or equivalency), 2019-23",6182.0
1013,AL,Butler County,"Some college or associate degree, 2019-23",3537.0
1013,AL,Butler County,"Bachelor's degree or higher, 2019-23",1812.0
1013,AL,Butler County,"Percent of adults who are not high school graduates, 2019-23",12.40504406
1013,AL,Butler County,"Percent of adults who are high school graduates (or equivalent), 2019-23",46.96140991
1013,AL,Butler County,"Percent of adults completing some college or associate degree, 2019-23",26.86873291
1013,AL,Butler County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.76481313
1015,AL,Calhoun County,2013 Urban Influence Code,2.0
1015,AL,Calhoun County,2024 Urban Influence Code,4.0
1015,AL,Calhoun County,2013 Rural-urban Continuum Code,3.0
1015,AL,Calhoun County,2023 Rural-urban Continuum Code,3.0
1015,AL,Calhoun County,"Less than a high school diploma, 1970",30535.0
1015,AL,Calhoun County,"High school diploma only, 1970",13804.0
1015,AL,Calhoun County,"Some college (1-3 years), 1970",3823.0
1015,AL,Calhoun County,"Four years of college or higher, 1970",3921.0
1015,AL,Calhoun County,"Percent of adults with less than a high school diploma, 1970",58.6
1015,AL,Calhoun County,"Percent of adults with a high school diploma only, 1970",26.5
1015,AL,Calhoun County,"Percent of adults completing some college (1-3 years), 1970",7.3
1015,AL,Calhoun County,"Percent of adults completing four years of college or higher, 1970",7.5
1015,AL,Calhoun County,"Less than a high school diploma, 1980",28268.0
1015,AL,Calhoun County,"High school diploma only, 1980",21411.0
1015,AL,Calhoun County,"Some college (1-3 years), 1980",8449.0
1015,AL,Calhoun County,"Four years of college or higher, 1980",7213.0
1015,AL,Calhoun County,"Percent of adults with less than a high school diploma, 1980",43.3
1015,AL,Calhoun County,"Percent of adults with a high school diploma only, 1980",32.8
1015,AL,Calhoun County,"Percent of adults completing some college (1-3 years), 1980",12.9
1015,AL,Calhoun County,"Percent of adults completing four years of college or higher, 1980",11.0
1015,AL,Calhoun County,"Less than high school graduate, 1990",23633.0
1015,AL,Calhoun County,"High school graduate (or equivalency), 1990",21711.0
1015,AL,Calhoun County,"Some college or associate degree, 1990",16835.0
1015,AL,Calhoun County,"Bachelor's degree or higher, 1990",10266.0
1015,AL,Calhoun County,"Percent of adults who are not high school graduates, 1990",32.6
1015,AL,Calhoun County,"Percent of adults who are high school graduates (or equivalent), 1990",30.0
1015,AL,Calhoun County,"Percent of adults completing some college or associate degree, 1990",23.2
1015,AL,Calhoun County,"Percent of adults with a bachelor's degree or higher, 1990",14.2
1015,AL,Calhoun County,"Less than high school graduate, 2000",19318.0
1015,AL,Calhoun County,"High school graduate (or equivalency), 2000",23856.0
1015,AL,Calhoun County,"Some college or associate degree, 2000",19576.0
