FIPStxt,State,Area_Name,Attribute,Value
1007,AL,Bibb County,BIRTHS_2022,236.0
1007,AL,Bibb County,BIRTHS_2023,240.0
1007,AL,Bibb County,DEATHS_2020,55.0
1007,AL,Bibb County,DEATHS_2021,325.0
1007,AL,Bibb County,DEATHS_2022,314.0
1007,AL,Bibb County,DEATHS_2023,290.0
1007,AL,Bibb County,NATURAL_CHG_2020,1.0
1007,AL,Bibb County,NATURAL_CHG_2021,-85.0
1007,AL,Bibb County,NATURAL_CHG_2022,-78.0
1007,AL,Bibb County,NATURAL_CHG_2023,-50.0
1007,AL,Bibb County,INTERNATIONAL_MIG_2020,0.0
1007,AL,Bibb County,INTERNATIONAL_MIG_2021,1.0
1007,AL,Bibb County,INTERNATIONAL_MIG_2022,1.0
1007,AL,Bibb County,INTERNATIONAL_MIG_2023,1.0
1007,AL,Bibb County,DOMESTIC_MIG_2020,-101.0
1007,AL,Bibb County,DOMESTIC_MIG_2021,254.0
1007,AL,Bibb County,DOMESTIC_MIG_2022,-303.0
1007,AL,Bibb County,DOMESTIC_MIG_2023,-69.0
1007,AL,Bibb County,NET_MIG_2020,-101.0
1007,AL,Bibb County,NET_MIG_2021,255.0
1007,AL,Bibb County,NET_MIG_2022,-302.0
1007,AL,Bibb County,NET_MIG_2023,-68.0
1007,AL,Bibb County,RESIDUAL_2020,-13.0
1007,AL,Bibb County,RESIDUAL_2021,1.0
1007,AL,Bibb County,RESIDUAL_2022,7.0
1007,AL,Bibb County,RESIDUAL_2023,0.0
1007,AL,Bibb County,GQ_ESTIMATES_BASE_2020,2141.0
1007,AL,Bibb County,GQ_ESTIMATES_2020,2060.0
1007,AL,Bibb County,GQ_ESTIMATES_2021,1994.0
1007,AL,Bibb County,GQ_ESTIMATES_2022,2025.0
1007,AL,Bibb County,GQ_ESTIMATES_2023,1894.0
1007,AL,Bibb County,R_BIRTH_2021,10.8
1007,AL,Bibb County,R_BIRTH_2022,10.6
1007,AL,Bibb County,R_BIRTH_2023,10.9
1007,AL,Bibb County,R_DEATH_2021,14.6
1007,AL,Bibb County,R_DEATH_2022,14.2
1007,AL,Bibb County,R_DEATH_2023,13.2
1007,AL,Bibb County,R_NATURAL_CHG_2021,-3.8
1007,AL,Bibb County,R_NATURAL_CHG_2022,-3.5
1007,AL,Bibb County,R_NATURAL_CHG_2023,-2.3
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2021,0.0
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2022,0.0
1007,AL,Bibb County,R_INTERNATIONAL_MIG_2023,0.0
1007,AL,Bibb County,R_DOMESTIC_MIG_2021,11.4
1007,AL,Bibb County,R_DOMESTIC_MIG_2022,-13.7
1007,AL,Bibb County,R_DOMESTIC_MIG_2023,-3.1
1007,AL,Bibb County,R_NET_MIG_2021,11.4
1007,AL,Bibb County,R_NET_MIG_2022,-13.6
1007,AL,Bibb County,R_NET_MIG_2023,-3.1
1009,AL,Blount County,Rural_Urban_Continuum_Code_2013,1.0
1009,AL,Blount County,Rural_Urban_Continuum_Code_2023,1.0
1009,AL,Blount County,Urban_Influence_2013,1.0
1009,AL,Blount County,Economic_typology_2015,0.0
1009,AL,Blount County,CENSUS_2020_POP,59134.0
1009,AL,Blount County,ESTIMATES_BASE_2020,59130.0
1009,AL,Blount County,POP_ESTIMATE_2020,59107.0
1009,AL,Blount County,POP_ESTIMATE_2021,59079.0
1009,AL,Blount County,POP_ESTIMATE_2022,59516.0
1009,AL,Blount County,POP_ESTIMATE_2023,59816.0
1009,AL,Blount County,N_POP_CHG_2020,-23.0
1009,AL,Blount County,N_POP_CHG_2021,-28.0
1009,AL,Blount County,N_POP_CHG_2022,437.0
1009,AL,Blount County,N_POP_CHG_2023,300.0
1009,AL,Blount County,BIRTHS_2020,137.0
1009,AL,Blount County,BIRTHS_2021,654.0
1009,AL,Blount County,BIRTHS_2022,693.0
1009,AL,Blount County,BIRTHS_2023,698.0
1009,AL,Blount County,DEATHS_2020,199.0
1009,AL,Blount County,DEATHS_2021,875.0
1009,AL,Blount County,DEATHS_2022,846.0
1009,AL,Blount County,DEATHS_2023,776.0
1009,AL,Blount County,NATURAL_CHG_2020,-62.0
1009,AL,Blount County,NATURAL_CHG_2021,-221.0
1009,AL,Blount County,NATURAL_CHG_2022,-153.0
1009,AL,Blount County,NATURAL_CHG_2023,-78.0
1009,AL,Blount County,INTERNATIONAL_MIG_2020,1.0
1009,AL,Blount County,INTERNATIONAL_MIG_2021,9.0
1009,AL,Blount County,INTERNATIONAL_MIG_2022,8.0
1009,AL,Blount County,INTERNATIONAL_MIG_2023,24.0
1009,AL,Blount County,DOMESTIC_MIG_2020,21.0
1009,AL,Blount County,DOMESTIC_MIG_2021,141.0
1009,AL,Blount County,DOMESTIC_MIG_2022,589.0
1009,AL,Blount County,DOMESTIC_MIG_2023,358.0
1009,AL,Blount County,NET_MIG_2020,22.0
1009,AL,Blount County,NET_MIG_2021,150.0
1009,AL,Blount County,NET_MIG_2022,597.0
1009,AL,Blount County,NET_MIG_2023,382.0
1009,AL,Blount County,RESIDUAL_2020,17.0
1009,AL,Blount County,RESIDUAL_2021,43.0
1009,AL,Blount County,RESIDUAL_2022,-7.0
1009,AL,Blount County,RESIDUAL_2023,-4.0
1009,AL,Blount County,GQ_ESTIMATES_BASE_2020,616.0
1009,AL,Blount County,GQ_ESTIMATES_2020,616.0
1009,AL,Blount County,GQ_ESTIMATES_2021,616.0
1009,AL,Blount County,GQ_ESTIMATES_2022,616.0
1009,AL,Blount County,GQ_ESTIMATES_2023,616.0
1009,AL,Blount County,R_BIRTH_2021,11.1
1009,AL,Blount County,R_BIRTH_2022,11.7
1009,AL,Blount County,R_BIRTH_2023,11.7
1009,AL,Blount County,R_DEATH_2021,14.8
1009,AL,Blount County,R_DEATH_2022,14.3
1009,AL,Blount County,R_DEATH_2023,13.0
1009,AL,Blount County,R_NATURAL_CHG_2021,-3.7
1009,AL,Blount County,R_NATURAL_CHG_2022,-2.6
1009,AL,Blount County,R_NATURAL_CHG_2023,-1.3
1009,AL,Blount County,R_INTERNATIONAL_MIG_2021,0.2
1009,AL,Blount County,R_INTERNATIONAL_MIG_2022,0.1
1009,AL,Blount County,R_INTERNATIONAL_MIG_2023,0.4
1009,AL,Blount County,R_DOMESTIC_MIG_2021,2.4
1009,AL,Blount County,R_DOMESTIC_MIG_2022,9.9
1009,AL,Blount County,R_DOMESTIC_MIG_2023,6.0
1009,AL,Blount County,R_NET_MIG_2021,2.5
1009,AL,Blount County,R_NET_MIG_2022,10.1
1009,AL,Blount County,R_NET_MIG_2023,6.4
1011,AL,Bullock County,Rural_Urban_Continuum_Code_2013,6.0
1011,AL,Bullock County,Rural_Urban_Continuum_Code_2023,8.0
1011,AL,Bullock County,Urban_Influence_2013,6.0
1011,AL,Bullock County,Economic_typology_2015,3.0
1011,AL,Bullock County,CENSUS_2020_POP,10357.0
1011,AL,Bullock County,ESTIMATES_BASE_2020,10360.0
1011,AL,Bullock County,POP_ESTIMATE_2020,10229.0
1011,AL,Bullock County,POP_ESTIMATE_2021,10143.0
1011,AL,Bullock County,POP_ESTIMATE_2022,10143.0
1011,AL,Bullock County,POP_ESTIMATE_2023,9897.0
1011,AL,Bullock County,N_POP_CHG_2020,-131.0
1011,AL,Bullock County,N_POP_CHG_2021,-86.0
1011,AL,Bullock County,N_POP_CHG_2022,0.0
1011,AL,Bullock County,N_POP_CHG_2023,-246.0
1011,AL,Bullock County,BIRTHS_2020,24.0
1011,AL,Bullock County,BIRTHS_2021,111.0
1011,AL,Bullock County,BIRTHS_2022,103.0
1011,AL,Bullock County,BIRTHS_2023,102.0
1011,AL,Bullock County,DEATHS_2020,41.0
1011,AL,Bullock County,DEATHS_2021,160.0
1011,AL,Bullock County,DEATHS_2022,138.0
1011,AL,Bullock County,DEATHS_2023,133.0
1011,AL,Bullock County,NATURAL_CHG_2020,-17.0
1011,AL,Bullock County,NATURAL_CHG_2021,-49.0
1011,AL,Bullock County,NATURAL_CHG_2022,-35.0
1011,AL,Bullock County,NATURAL_CHG_2023,-31.0
1011,AL,Bullock County,INTERNATIONAL_MIG_2020,0.0
1011,AL,Bullock County,INTERNATIONAL_MIG_2021,1.0
1011,AL,Bullock County,INTERNATIONAL_MIG_2022,5.0
1011,AL,Bullock County,INTERNATIONAL_MIG_2023,6.0
1011,AL,Bullock County,DOMESTIC_MIG_2020,-94.0
1011,AL,Bullock County,DOMESTIC_MIG_2021,-42.0
1011,AL,Bullock County,DOMESTIC_MIG_2022,32.0
1011,AL,Bullock County,DOMESTIC_MIG_2023,-219.0
1011,AL,Bullock County,NET_MIG_2020,-94.0
1011,AL,Bullock County,NET_MIG_2021,-41.0
1011,AL,Bullock County,NET_MIG_2022,37.0
1011,AL,Bullock County,NET_MIG_2023,-213.0
1011,AL,Bullock County,RESIDUAL_2020,-20.0
1011,AL,Bullock County,RESIDUAL_2021,4.0
1011,AL,Bullock County,RESIDUAL_2022,-2.0
1011,AL,Bullock County,RESIDUAL_2023,-2.0
1011,AL,Bullock County,GQ_ESTIMATES_BASE_2020,1705.0
1011,AL,Bullock County,GQ_ESTIMATES_2020,1631.0
1011,AL,Bullock County,GQ_ESTIMATES_2021,1578.0
1011,AL,Bullock County,GQ_ESTIMATES_2022,1648.0
1011,AL,Bullock County,GQ_ESTIMATES_2023,1615.0
1011,AL,Bullock County,R_BIRTH_2021,10.9
1011,AL,Bullock County,R_BIRTH_2022,10.2
1011,AL,Bullock County,R_BIRTH_2023,10.2
1011,AL,Bullock County,R_DEATH_2021,15.7
1011,AL,Bullock County,R_DEATH_2022,13.6
1011,AL,Bullock County,R_DEATH_2023,13.3
1011,AL,Bullock County,R_NATURAL_CHG_2021,-4.8
1011,AL,Bullock County,R_NATURAL_CHG_2022,-3.5
1011,AL,Bullock County,R_NATURAL_CHG_2023,-3.1
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2021,0.1
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2022,0.5
1011,AL,Bullock County,R_INTERNATIONAL_MIG_2023,0.6
1011,AL,Bullock County,R_DOMESTIC_MIG_2021,-4.1
1011,AL,Bullock County,R_DOMESTIC_MIG_2022,3.2
1011,AL,Bullock County,R_DOMESTIC_MIG_2023,-21.9
1011,AL,Bullock County,R_NET_MIG_2021,-4.0
1011,AL,Bullock County,R_NET_MIG_2022,3.6
1011,AL,Bullock County,R_NET_MIG_2023,-21.3
1013,AL,Butler County,Rural_Urban_Continuum_Code_2013,6.0
1013,AL,Butler County,Rural_Urban_Continuum_Code_2023,6.0
1013,AL,Butler County,Urban_Influence_2013,6.0
1013,AL,Butler County,Economic_typology_2015,0.0
1013,AL,Butler County,CENSUS_2020_POP,19051.0
1013,AL,Butler County,ESTIMATES_BASE_2020,19046.0
1013,AL,Butler County,POP_ESTIMATE_2020,19025.0
1013,AL,Butler County,POP_ESTIMATE_2021,18890.0
1013,AL,Butler County,POP_ESTIMATE_2022,18668.0
1013,AL,Butler County,POP_ESTIMATE_2023,18382.0
1013,AL,Butler County,N_POP_CHG_2020,-21.0
1013,AL,Butler County,N_POP_CHG_2021,-135.0
1013,AL,Butler County,N_POP_CHG_2022,-222.0
1013,AL,Butler County,N_POP_CHG_2023,-286.0
1013,AL,Butler County,BIRTHS_2020,47.0
1013,AL,Butler County,BIRTHS_2021,227.0
1013,AL,Butler County,BIRTHS_2022,207.0
1013,AL,Butler County,BIRTHS_2023,212.0
1013,AL,Butler County,DEATHS_2020,88.0
1013,AL,Butler County,DEATHS_2021,297.0
1013,AL,Butler County,DEATHS_2022,312.0
1013,AL,Butler County,DEATHS_2023,299.0
1013,AL,Butler County,NATURAL_CHG_2020,-41.0
1013,AL,Butler County,NATURAL_CHG_2021,-70.0
1013,AL,Butler County,NATURAL_CHG_2022,-105.0
1013,AL,Butler County,NATURAL_CHG_2023,-87.0
1013,AL,Butler County,INTERNATIONAL_MIG_2020,0.0
1013,AL,Butler County,INTERNATIONAL_MIG_2021,5.0
1013,AL,Butler County,INTERNATIONAL_MIG_2022,6.0
1013,AL,Butler County,INTERNATIONAL_MIG_2023,8.0
1013,AL,Butler County,DOMESTIC_MIG_2020,15.0
1013,AL,Butler County,DOMESTIC_MIG_2021,-75.0
1013,AL,Butler County,DOMESTIC_MIG_2022,-117.0
1013,AL,Butler County,DOMESTIC_MIG_2023,-207.0
1013,AL,Butler County,NET_MIG_2020,15.0
